Time,Open,High,Low,Close,Volume
2022.06.08 10:00,95.979,96.175,95.884,96.097,6905.000
2022.06.08 09:00,95.917,95.989,95.821,95.979,6261.000
2022.06.08 08:00,95.864,95.970,95.809,95.916,4524.000
2022.06.08 07:00,95.811,95.910,95.775,95.860,3379.000
2022.06.08 06:00,96.093,96.094,95.742,95.813,3864.000
2022.06.08 05:00,96.180,96.198,96.032,96.093,4458.000
2022.06.08 04:00,96.128,96.204,96.029,96.172,6962.000
2022.06.08 03:00,95.913,96.161,95.845,96.128,5133.000
2022.06.08 02:00,95.941,96.002,95.888,95.912,2885.000
2022.06.08 01:00,95.923,95.954,95.888,95.942,1468.000
2022.06.08 00:00,95.917,95.934,95.854,95.921,342.000
2022.06.07 23:00,95.978,95.979,95.890,95.903,1762.000
2022.06.07 22:00,95.848,96.021,95.844,95.976,3389.000
2022.06.07 21:00,95.638,95.864,95.627,95.846,3635.000
2022.06.07 20:00,95.737,95.811,95.629,95.638,3742.000
2022.06.07 19:00,95.567,95.738,95.534,95.737,3843.000
2022.06.07 18:00,95.631,95.644,95.512,95.566,5882.000
2022.06.07 17:00,95.339,95.646,95.243,95.632,8394.000
2022.06.07 16:00,95.108,95.396,95.002,95.339,8338.000
2022.06.07 15:00,95.233,95.274,95.063,95.108,6324.000
2022.06.07 14:00,95.397,95.438,95.202,95.232,4928.000
2022.06.07 13:00,95.360,95.477,95.306,95.396,4573.000
2022.06.07 12:00,95.354,95.457,95.276,95.360,5096.000
2022.06.07 11:00,95.384,95.551,95.341,95.354,5340.000
2022.06.07 10:00,95.487,95.565,95.346,95.384,7847.000
2022.06.07 09:00,95.348,95.575,95.343,95.488,6294.000
2022.06.07 08:00,95.586,95.653,95.258,95.351,6367.000
2022.06.07 07:00,95.149,96.133,95.109,95.587,5511.000
2022.06.07 06:00,95.016,95.181,94.961,95.149,3856.000
2022.06.07 05:00,95.143,95.165,94.939,95.014,4700.000
2022.06.07 04:00,94.935,95.194,94.927,95.145,7233.000
2022.06.07 03:00,94.979,95.001,94.813,94.932,5726.000
2022.06.07 02:00,94.905,95.098,94.884,94.978,4048.000
2022.06.07 01:00,94.896,94.963,94.860,94.905,1561.000
2022.06.07 00:00,94.842,94.904,94.774,94.893,254.000
2022.06.06 23:00,94.875,94.901,94.847,94.869,1621.000
2022.06.06 22:00,94.935,94.943,94.795,94.875,4387.000
2022.06.06 21:00,94.978,94.983,94.825,94.935,4578.000
2022.06.06 20:00,94.829,94.994,94.755,94.979,3671.000
2022.06.06 19:00,94.798,94.839,94.660,94.826,5093.000
2022.06.06 18:00,94.818,94.832,94.602,94.801,6915.000
2022.06.06 17:00,94.605,94.845,94.591,94.817,7332.000
2022.06.06 16:00,94.521,94.630,94.487,94.605,5901.000
2022.06.06 15:00,94.398,94.544,94.389,94.519,4134.000
2022.06.06 14:00,94.275,94.426,94.225,94.399,2929.000
2022.06.06 13:00,94.411,94.451,94.224,94.275,3499.000
2022.06.06 12:00,94.541,94.574,94.301,94.410,3144.000
2022.06.06 11:00,94.392,94.549,94.368,94.539,4640.000
2022.06.06 10:00,94.022,94.450,93.995,94.392,6219.000
2022.06.06 09:00,94.057,94.168,93.955,94.022,4251.000
2022.06.06 08:00,94.085,94.206,94.024,94.057,3528.000
2022.06.06 07:00,93.846,94.091,93.767,94.085,3405.000
2022.06.06 06:00,94.020,94.064,93.841,93.846,2626.000
2022.06.06 05:00,94.039,94.124,94.005,94.020,2898.000
2022.06.06 04:00,94.202,94.202,93.850,94.038,5426.000
2022.06.06 03:00,94.126,94.287,94.061,94.204,4821.000
2022.06.06 02:00,94.335,94.406,94.126,94.127,2905.000
2022.06.06 01:00,94.372,94.440,94.250,94.331,3062.000
2022.06.06 00:00,94.431,94.431,94.310,94.378,284.000
2022.06.03 23:00,94.352,94.354,94.257,94.290,1602.000
2022.06.03 22:00,94.377,94.385,94.267,94.353,3571.000
2022.06.03 21:00,94.346,94.396,94.282,94.377,3722.000
2022.06.03 20:00,94.415,94.463,94.301,94.345,4119.000
2022.06.03 19:00,94.386,94.430,94.273,94.415,5092.000
2022.06.03 18:00,94.480,94.480,94.308,94.386,4680.000
2022.06.03 17:00,94.470,94.552,94.274,94.480,7615.000
2022.06.03 16:00,94.343,94.531,94.326,94.472,7615.000
2022.06.03 15:00,94.233,94.506,94.228,94.343,7344.000
2022.06.03 14:00,94.311,94.366,94.229,94.232,4054.000
2022.06.03 13:00,94.349,94.394,94.272,94.307,3622.000
2022.06.03 12:00,94.368,94.377,94.234,94.348,3299.000
2022.06.03 11:00,94.240,94.426,94.211,94.367,3505.000
2022.06.03 10:00,94.254,94.314,94.179,94.242,4947.000
2022.06.03 09:00,94.218,94.305,94.136,94.255,3838.000
2022.06.03 08:00,94.201,94.281,94.171,94.218,2950.000
2022.06.03 07:00,94.242,94.296,94.172,94.202,2977.000
2022.06.03 06:00,94.205,94.268,94.140,94.241,2917.000
2022.06.03 05:00,94.184,94.286,94.132,94.204,3377.000
